,n_ap,first_ap_time,first_ap_amp,first_ap_width
387,1,8,48.745015420305535,17.228186082745754
388,3,6,51.79912925289074,23.29730062026576
389,1,6,52.18877661138907,23.59022804283084
390,1,6,62.859135362997506,8.53972046237232
391,1,7,45.64477800130194,29.80187805957483
392,2,7,42.939427252114,87.1428513430372
393,1,7,48.71438767350038,38.35391331056593
394,1,7,49.747437701556215,10.118594066083386
395,2,7,38.54142980473449,3.479206937653058
396,3,6,50.574705393566866,8.257286993506979
397,1,8,38.22430961978344,23.462526114071487
398,1,7,45.40861194397636,4.068145276954283
399,1,6,50.012941981317255,22.128967954034984
400,1,6,42.09554459046475,6.078567574454889
401,1,6,63.20810666117221,16.16688633554557
402,2,6,55.2201418927538,12.486835748697713
403,1,6,54.986727331656496,19.466417869402157
404,1,7,43.633547968091385,10.949468742878222
405,1,8,38.470817673513714,21.493969958288368
406,1,7,58.4652671807193,30.3406729064546
407,1,7,53.055867134910535,39.113247109548816
408,1,7,47.381161823137795,30.982027673580202
409,2,6,55.53871646189781,3.9058212631323794
410,1,7,37.40110009578913,8.058499760145018
411,2,7,39.50950834919349,3.004986312704939
412,1,7,47.57722657966402,99.97374994544764
413,1,6,52.989517734933465,5.2447582537614545
414,1,8,52.39018147272295,64.12855900960584
415,1,6,47.47250806311892,9.958427486135694
416,1,7,44.41096420481184,32.06130418585925
417,1,6,48.432339973482506,10.006562127121775
418,1,7,55.75837088687113,31.6611698932192
419,3,6,52.4595145376023,7.356167792865725
420,1,6,44.21332401830047,9.05529223698807
421,2,7,49.44428622413743,5.197920970470525
422,1,6,63.36177249684111,4.503722104049038
423,1,6,51.72563261416004,8.493400615560127
424,5,6,51.55053858326635,7.163517238356906
425,1,6,61.675129247681106,23.434276487855676
426,1,8,41.488188369854576,12.190550075519537
427,1,7,60.14011420191391,10.986309436186279
428,1,7,45.851901961595715,14.064667190753728
429,1,6,51.822792658152025,6.778151692043391
430,1,6,58.98258116145243,12.202006612516495
431,2,6,59.727020300630684,11.296787328254757
432,2,6,48.90508569137832,6.1274171907003
433,1,7,54.07172867929914,12.974780130010473
434,1,7,49.682977978961254,16.005455006724073
435,1,7,54.43738960021097,12.3214517517071
436,2,5,58.993586696378976,6.321617397054305
437,1,6,48.87172557953619,105.02056268875396
438,1,7,54.46784430235922,14.531971559365989
439,1,6,55.5372713631056,6.33073988529406
440,2,7,52.96675611905304,4.879446745371986
441,3,6,45.62216569559994,12.002409834939268
442,2,7,32.35076291429439,8.963685769351702
443,1,7,36.3041237813501,11.907615670881885
444,1,7,47.04462280153793,11.894186471562806
445,3,6,45.451338414936856,7.842421152440766
446,1,9,38.76748582059279,19.995637746501423
447,1,9,46.39370978902306,70.81177109807544
448,1,7,47.80953662067258,60.519780461878675
449,1,6,49.85396198261585,10.923111018486942
450,2,6,44.46037539350379,9.676925186154723
451,1,6,61.423544473628645,29.618270580411682
452,1,7,37.048330179095075,11.198195990606614
453,2,6,59.44901664453586,9.795061156450636
454,1,6,39.95843763467803,9.082968407633466
455,1,6,63.44762620037096,4.488534834412489
456,1,7,60.52799741071103,19.433146221625584
457,1,7,45.43990508007226,7.400874651123977
458,1,6,47.79054915512813,6.0195291196592935
459,2,7,52.90862831167551,4.070360147182661
460,1,6,43.00276874298168,7.2417210979552085
461,1,7,46.0053673890405,16.81296669250848
462,1,6,49.11877261441635,11.169253814825513
463,1,7,46.48176175088452,16.732011084574115
464,1,7,46.12902505966472,60.35072832924261
465,2,8,38.64261947048709,9.432742879293434
466,1,7,58.1495794726003,77.51323135335039
467,1,8,47.69692869097339,33.07897067044457
468,1,7,41.786468537420454,12.534226650911247
469,2,6,46.84279602337713,4.889574216855112
470,1,6,46.340848907376994,10.01348603401695
471,1,7,46.07559753847356,78.53763195261472
472,1,7,41.388885748923656,12.008855512220167
473,1,8,38.470751935757754,55.52332791824897
474,1,7,48.42954599186609,54.9945406432386
475,1,8,36.75835917588472,15.203635265160482
476,2,6,47.71764780177799,4.367534767718712
477,1,6,56.04744965752818,11.305887307410117
478,1,7,39.216011036357926,23.934382722076162
479,1,8,38.765452061567714,13.867088115502195
480,3,6,37.42353973808015,8.780934983122986
481,1,8,40.39752690532833,15.651874207774517
482,1,6,45.28339089741943,5.633562122803782
483,1,7,48.89485178337291,25.61650470435838
484,1,7,43.553878157369425,6.201206218909437
485,2,6,53.990895505760726,5.284230726982057
486,2,6,61.8815493420617,6.643436338277199
487,1,6,50.65359516553441,9.66161081389566
488,2,6,58.00649028999249,2.4609820042559356
489,1,7,45.207986312307646,33.97693610311725
490,1,6,40.886181024285825,6.7513827877054595
491,1,7,35.76740682648247,21.551961508660472
492,2,7,47.90865814662689,9.504446180336451
493,1,6,60.24029004630312,13.142681429659586
494,1,7,47.56651754314331,45.67102197936878
495,1,6,50.89087387122621,14.853755921821605
496,1,8,54.80024537579545,21.199160265545164
497,1,7,47.76835346019884,19.672694401699275
498,1,6,47.70916298110678,10.883578568671737
499,1,8,36.90255356335535,10.283334178219656
500,2,7,52.12463065344326,5.839185529097449
501,2,7,53.5218630680092,4.066725235952146
502,2,7,46.3406626530956,3.1802961857627956
503,1,6,44.85353304502336,10.498972816270161
504,1,6,53.209186908811425,3.9434249364087357
505,1,6,62.505693204990756,17.726634453515068
506,1,7,47.1025736354934,8.720763460794402
507,1,8,32.745116252103145,6.734769787926864
508,1,6,57.44082675689757,4.798933919103155
509,1,6,59.75374967670279,90.53193933753347
510,1,7,60.584974674821275,6.793217135257455
511,1,7,39.00207987555649,84.22518335109476
512,1,7,47.397642216751784,17.684260868316166
513,1,7,39.61765960364472,8.676395022605192
514,1,6,51.25565149321335,4.633861138463984
515,1,6,42.45558333379886,11.150770093486667
516,2,6,59.853365884569605,7.15141464793692
517,1,6,56.60197196780953,136.06062483715436
518,1,6,59.45107664409339,11.006991900326453
519,2,7,42.33425747041694,4.515121283925281
520,3,7,37.084129585293866,21.175893042817677
521,1,6,45.43603919321021,12.386328905163026
522,1,8,46.424532863710034,65.1607251230964
523,2,6,50.669941144510936,11.888871325910266
524,1,7,40.06445933807584,12.934794440862374
525,1,7,45.11761163118871,9.10109034936259
526,1,7,36.95284633527083,12.103326003794301
527,1,6,46.57596380868691,2.308478068004078
528,1,6,44.67245753037378,8.05817727171302
529,3,6,59.9395381760564,12.27634027871775
530,1,8,39.49460069934164,64.91290473747102
531,2,7,57.99955064676642,15.19099286774193
532,1,7,47.04467234858527,23.986632111362916
533,2,7,48.09438075209732,5.549230162922482
534,2,7,43.542815737885284,9.367899130725306
535,1,9,51.91726551113824,57.69974073232299
536,1,7,50.14138419631018,92.52103207578483
537,1,7,55.46108674919222,15.364031607922366
538,1,7,43.47594098736367,12.057839081235464
539,1,7,43.571522144455216,9.04726729707951
540,2,7,43.84642197199006,2.6617636750842033
541,1,6,62.03631267158396,13.122891941442536
542,1,8,44.035796179300206,16.59690987485866
543,1,8,45.96380891127764,43.88814115984627
544,1,7,42.082190138702074,9.492611860882217
545,1,7,46.60217209275989,4.477589485755247
546,1,7,39.77916137837779,9.302030515374927
547,1,6,52.58136224792183,9.60198829466741
548,2,6,57.17288058313718,56.931979824299106
549,1,6,59.91526250947069,31.987569326732554
550,2,5,60.32734043098487,1.7489083697353411
551,1,9,42.55982914411656,24.456270397297594
552,4,6,53.595535294168215,29.781073624427997
553,1,6,36.27728256230315,9.009580575168401
554,1,6,57.885262233752385,15.49311526633987
555,1,8,39.764681824226706,26.738124752730982
556,3,7,58.184730936814674,9.650864529700218
557,2,6,53.28097632036976,5.168803208151593
558,1,8,39.68904783870085,17.525691498132637
559,1,7,42.872675609412106,22.97290281341047
560,1,5,49.3224324541215,3.7518375058974494
561,1,7,43.27086183183114,10.365371555420184
562,1,7,42.19827197635518,16.059908026565775
563,1,6,48.97133607354433,6.177638230635616
564,1,7,43.69083985703045,33.048454874978106
565,1,8,36.37093928108185,10.838200457129659
566,1,7,49.761308675225436,47.89275646336365
567,1,6,50.27155334792838,4.225622953716153
568,1,8,35.396535999206684,11.274099426514283
569,2,7,42.470138842608854,9.882486517351794
570,1,7,38.862036208672215,7.258088771586995
571,1,7,43.08975989753707,7.811382349764716
572,1,7,46.10914117332504,10.781872043797893
573,1,6,51.331967532941285,18.146720468775076
574,2,7,49.88350118353846,144.049562052115
575,1,6,53.99544086667474,17.026719198974746
576,1,7,45.411768444602174,12.6953433921618
577,1,7,35.942353752511366,11.47517631309353
578,2,7,36.8301907242158,6.604943160898649
579,2,6,47.57298982711907,2.8141031121227202
580,2,6,56.19094121919646,5.166661303529004
581,3,7,54.903087555997104,8.867782696915901
582,1,8,42.2034891468958,39.24626328314847
583,1,7,42.73058346591968,14.479036765373662
584,2,6,56.14381172872143,6.092305033531854
585,1,6,36.642288166077925,9.657501139980223
586,2,6,55.97396272646686,6.143360919801264
587,1,6,62.00376826561908,68.73530812694091
588,1,6,52.156749288464916,38.26054657899749
589,1,7,46.48607714819374,71.6837377461652
590,1,6,45.16238987865521,9.429197308070346
